User_Rating_Out_Of_5,Review_Title,Review_Body
5,Fabulous!,Good notes
3,Good,Gujarat police Best book👌
5,Terrific,👍 useful book
5,Terrific purchase,This book is good ❤️
5,Best in the market!,Really good notes
5,Excellent,Good book police constable exam good 👍👍👍
5,Great product,"Best notes all
Very good writing this note"
5,Best in the market!,Very nice product
4,Pretty good,Very good book
4,Wonderful,Very Nice 💯 From :Ujediya Talod
5,Brilliant,Nice 👍
5,Simply awesome,Helpful book 📙
5,Fabulous!,Books is very useful 😊
5,Perfect product!,👍Nice book
3,Fair,Nice book
5,Must buy!,Very nice book
1,Absolute rubbish!,Very Bad 😞😔
1,Great product,I like at book 📚.
